"No.","Time","Source","Destination","Protocol","Length","Info"
"18","492.555858791","127.0.0.1","127.0.0.1","TCP","66","45604  >  11111 [ACK] Seq=161 Ack=1367 Win=64384 Len=0 TSval=4150017285 TSecr=4150017285"
"19","492.564982985","127.0.0.1","127.0.0.1","TLSv1.2","404","Server Key Exchange"
"20","492.565001588","127.0.0.1","127.0.0.1","TCP","66","45604  >  11111 [ACK] Seq=161 Ack=1705 Win=64768 Len=0 TSval=4150017294 TSecr=4150017294"
"21","492.565023973","127.0.0.1","127.0.0.1","TLSv1.2","75","Server Hello Done"
"22","492.565032072","127.0.0.1","127.0.0.1","TCP","66","45604  >  11111 [ACK] Seq=161 Ack=1714 Win=64768 Len=0 TSval=4150017294 TSecr=4150017294"
"23","492.567762335","127.0.0.1","127.0.0.1","TLSv1.2","141","Client Key Exchange"
"24","492.608808066","127.0.0.1","127.0.0.1","TCP","66","11111  >  45604 [ACK] Seq=1714 Ack=236 Win=65536 Len=0 TSval=4150017338 TSecr=4150017297"
"25","492.608833757","127.0.0.1","127.0.0.1","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message"
"26","492.608850563","127.0.0.1","127.0.0.1","TCP","66","11111  >  45604 [ACK] Seq=1714 Ack=287 Win=65536 Len=0 TSval=4150017338 TSecr=4150017338"
"27","492.609040245","127.0.0.1","127.0.0.1","TLSv1.2","72","Change Cipher Spec"
"28","492.652830856","127.0.0.1","127.0.0.1","TCP","66","45604  >  11111 [ACK] Seq=287 Ack=1720 Win=65536 Len=0 TSval=4150017382 TSecr=4150017338"
"29","492.652866006","127.0.0.1","127.0.0.1","TLSv1.2","111","Encrypted Handshake Message"
"30","492.652891952","127.0.0.1","127.0.0.1","TCP","66","45604  >  11111 [ACK] Seq=287 Ack=1765 Win=65536 Len=0 TSval=4150017382 TSecr=4150017382"
"31","526.288678829","127.0.0.1","127.0.0.1","TLSv1.2","140","Application Data"
"32","526.288988356","127.0.0.1","127.0.0.1","TLSv1.2","117","Application Data"
"33","526.289026942","127.0.0.1","127.0.0.1","TCP","66","45604  >  11111 [ACK] Seq=361 Ack=1816 Win=65536 Len=0 TSval=4150051018 TSecr=4150051018"
"34","526.289094428","127.0.0.1","127.0.0.1","TLSv1.2","97","Encrypted Alert"
"35","526.289117994","127.0.0.1","127.0.0.1","TCP","66","45604  >  11111 [ACK] Seq=361 Ack=1847 Win=65536 Len=0 TSval=4150051018 TSecr=4150051018"
"36","526.289195966","127.0.0.1","127.0.0.1","TLSv1.2","97","Encrypted Alert"
"37","526.289214231","127.0.0.1","127.0.0.1","TCP","66","11111  >  45604 [FIN, ACK] Seq=1847 Ack=361 Win=65536 Len=0 TSval=4150051018 TSecr=4150051018"
"38","526.289267262","127.0.0.1","127.0.0.1","TCP","54","11111  >  45604 [RST] Seq=1847 Win=0 Len=0"
